Music: music/yu_chunyang.m4a
Duration: 237.05600907029478
Tempo: 129.19921875
18.64 - 19.38 | Zither Harp
30.00 - 34.10 | 你仍恰 恰似当年孤立成飞火
35.20 - 37.90 | 醉薄风 喝过茶
38.72 - 41.66 | 寻常巷口 寻个酒家
42.48 - 44.22 | 在错节酸老悠
45.70 - 48.80 | 万地别是平洋
50.68 - 53.80 | 黑牙重不重不为家
54.44 - 56.86 | 我们在我也像广山
58.26 - 64.16 | 转移不及躲过 斩散分离 看似真微笑
64.82 - 71.60 | 倒何处 却眼上 偶尔陷害 温哥伤伤
71.60 - 77.36 | 没提 是我愿回忆了些九十滴酒家
79.16 - 83.06 | 向前门折磨 堆塞风雨荒落
83.06 - 86.60 | 歌琴琴散磨 荒流来殿下
86.60 - 90.42 | 人世可相逢 知己心有期盼
90.42 - 94.14 | 要我排看雪君的言文都言小
94.14 - 97.84 | 向前背影过大 堆塞风雨荒沙
97.84 - 101.60 | 无情也散磨 向前递斩头火
101.60 - 105.50 | 人世难相逢 解情深脆白霸
105.50 - 109.74 | 慷慨微霜雪香 藏白剑一頭花
112.52 - 115.70 | 過散尋求其看月花
115.70 - 118.50 | 冷醉的烏根不換甲
119.38 - 123.14 | 溫說到夢下少年時
123.14 - 126.24 | 甘誇於的抱歉竟存嗎
126.24 - 129.98 | 你心似真生活
129.98 - 133.32 | 就我草葉比神仙塌
133.98 - 140.12 | 教育人已奈背 灿烂不及动向
142.68 - 148.64 | 曾动向好几位层吧 在地里尽风出情话
150.18 - 156.32 | 本来人寻见谁似我 将日夜深海一丁相纳
156.32 - 160.36 | 只性命不作答
160.36 - 163.64 | 转身相遇外几生压
164.32 - 166.00 | 不必说明会
166.00 - 169.26 | 既然隔空是地球家
170.82 - 172.90 | 像丧男中的花
172.90 - 174.84 | 对春风的红额
174.84 - 178.46 | 多情丛似我红柳来天下
178.46 - 180.30 | 人世可相逢
180.30 - 182.24 | 只见星星光
182.24 - 186.00 | 有我改变却醉烟温都烟霞
186.00 - 188.04 | 将将悲伤不放
188.04 - 189.80 | 对戏碰晃杀
189.80 - 193.54 | 无情脸似我隐倦风斩刀花
193.54 - 195.60 | 人世能相逢
195.60 - 197.28 | 随情善罪百搬
197.28 - 199.42 | 慷慨为数许相分
199.42 - 201.40 | 每千亿刀花
201.40 - 204.72 | 当此时输赢都算鲜花
204.72 - 208.40 | 来换杯成酒添汤我潇洒
208.40 - 212.24 | 朋友不自老 谈假成昨年华
212.24 - 216.14 | 陪我走马去 过过前提 背中你生涯
216.14 - 219.76 | 当此时 伤死也损险化
219.76 - 223.34 | 来换成好 再不负天走 潇洒
223.34 - 227.24 | 朋友不自老 谈假成昨年华
227.24 - 231.08 | 陪我自由去 只做工人不微笑
